freguesia,genero,ocupacao,tempo,destino,valor
Campanhã,M,Empregada,Até 15 minutos,"No mesmo município, noutra freguesia",554
Campanhã,M,Empregada,31 - 60 minutos,"No mesmo município, noutra freguesia",579
Campanhã,M,Empregada,Até 15 minutos,Na freguesia onde reside atualmente,625
Campanhã,M,Total,31 - 60 minutos,"No mesmo município, noutra freguesia",711
Campanhã,H,Empregada,Total,Na freguesia onde reside atualmente,726
Campanhã,H,Total,Até 15 minutos,"No mesmo município, noutra freguesia",738
Campanhã,M,Total,Até 15 minutos,"No mesmo município, noutra freguesia",770
Campanhã,HM,Total,16 - 30 minutos,Na freguesia onde reside atualmente,770
Campanhã,M,Estudante,Até 15 minutos,Na freguesia onde reside atualmente,802
Campanhã,H,Estudante,Até 15 minutos,Na freguesia onde reside atualmente,844
Campanhã,M,Estudante,Total,"No mesmo município, noutra freguesia",853
Campanhã,HM,Empregada,31 - 60 minutos,"No mesmo município, noutra freguesia",877
Campanhã,H,Estudante,Total,"No mesmo município, noutra freguesia",884
Campanhã,H,Empregada,16 - 30 minutos,"No mesmo município, noutra freguesia",898
Campanhã,M,Empregada,Total,Na freguesia onde reside atualmente,923
Campanhã,M,Estudante,Total,Na freguesia onde reside atualmente,1020
Campanhã,HM,Estudante,16 - 30 minutos,"No mesmo município, noutra freguesia",1025
Campanhã,H,Estudante,Total,Na freguesia onde reside atualmente,1055
Campanhã,HM,Empregada,Até 15 minutos,"No mesmo município, noutra freguesia",1056
Campanhã,HM,Total,31 - 60 minutos,"No mesmo município, noutra freguesia",1110
Campanhã,HM,Empregada,Até 15 minutos,Na freguesia onde reside atualmente,1143
Campanhã,M,Empregada,16 - 30 minutos,"No mesmo município, noutra freguesia",1151
Campanhã,H,Total,Até 15 minutos,Na freguesia onde reside atualmente,1362
Campanhã,M,Total,Até 15 minutos,Na freguesia onde reside atualmente,1427
Campanhã,H,Total,16 - 30 minutos,"No mesmo município, noutra freguesia",1434
Campanhã,HM,Total,Até 15 minutos,"No mesmo município, noutra freguesia",1508
Campanhã,M,Total,16 - 30 minutos,"No mesmo município, noutra freguesia",1640
Campanhã,HM,Estudante,Até 15 minutos,Na freguesia onde reside atualmente,1646
Campanhã,HM,Empregada,Total,Na freguesia onde reside atualmente,1649
Campanhã,HM,Estudante,Total,"No mesmo município, noutra freguesia",1737
Campanhã,H,Empregada,Total,"No mesmo município, noutra freguesia",1738
Campanhã,H,Total,Total,Na freguesia onde reside atualmente,1781
Campanhã,M,Total,Total,Na freguesia onde reside atualmente,1943
Campanhã,HM,Empregada,16 - 30 minutos,"No mesmo município, noutra freguesia",2049
Campanhã,HM,Estudante,Total,Na freguesia onde reside atualmente,2075
Campanhã,M,Empregada,Total,"No mesmo município, noutra freguesia",2366
Campanhã,H,Total,Total,"No mesmo município, noutra freguesia",2622
Campanhã,HM,Total,Até 15 minutos,Na freguesia onde reside atualmente,2789
Campanhã,HM,Total,16 - 30 minutos,"No mesmo município, noutra freguesia",3074
Campanhã,M,Total,Total,"No mesmo município, noutra freguesia",3219
Campanhã,HM,Total,Total,Na freguesia onde reside atualmente,3724
Campanhã,HM,Empregada,Total,"No mesmo município, noutra freguesia",4104
Campanhã,HM,Total,Total,"No mesmo município, noutra freguesia",5841
Campanhã,M,Estudante,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,HM,Empregada,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,HM,Estudante,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,H,Total,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,HM,Total,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,M,Empregada,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,M,Total,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,H,Estudante,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,H,Estudante,61 - 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,H,Empregada,Mais de 90 minutos,Na freguesia onde reside atualmente,0
Campanhã,M,Estudante,Mais de 90 minutos,"No mesmo município, noutra freguesia",0
